Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KSH,68560,1,26,1
KS18,KSH,68560,1,26,2.2
KS18,KSH,68560,1,26,1
KS18,KSH,68560,1,27,1
KS18,KSH,68560,1,27,1
KS18,KSH,68560,1,27,1
KS18,KSH,68560,1,27,1
KS18,KSH,68560,1,28,1
KS18,KSH,68560,1,29,1
KS18,KSH,68560,1,30,1
KS18,KSH,68560,1,30,1
KS18,KSH,68560,1,30,1
KS18,KSH,68560,1,31,1
KS18,KSH,68560,1,31,1
KS18,KSH,68560,1,32,1
KS18,KSH,68560,1,34,1
KS18,KSH,68560,1,34,1
KS18,KSH,68560,1,35,1
KS18,KSH,68560,1,36,1
KS18,KSH,68560,1,36,1
KS18,KSH,68560,1,36,1
KS18,KSH,68560,1,37,2.2
KS18,KSH,68560,1,37,1
KS18,KSH,68560,1,37,2.2
KS18,KSH,68560,1,38,1
KS18,KSH,68560,1,38,1
KS18,KSH,68560,1,38,1
KS18,KSH,68560,1,39,1
KS18,KSH,68560,1,40,1
KS18,KSH,68560,1,40,2.2
KS18,KSH,68560,1,40,1
KS18,KSH,68560,1,41,2.2
KS18,KSH,68560,1,41,1
KS18,KSH,68560,1,42,1
KS18,KSH,68560,1,42,1
KS18,KSH,68560,1,42,1
KS18,KSH,68560,1,43,1
KS18,KSH,68560,1,44,1
KS18,KSH,68560,1,44,1
KS18,KSH,68560,1,45,1
KS18,KSH,68560,1,45,1
KS18,KSH,68560,1,46,1
KS18,KSH,68560,1,48,1
KS18,KSH,68560,1,49,1
KS18,KSH,68560,1,49,1
KS18,KSH,68560,1,50,1
KS18,KSH,68560,1,50,1
KS18,KSH,68560,1,51,1
KS18,KSH,68560,1,52,1
KS18,KSH,68560,1,52,1
KS18,KSH,68560,1,53,1
KS18,KSH,68560,1,54,1
KS18,KSH,68560,1,56,1
KS18,KSH,68560,1,56,1
KS18,KSH,68560,1,56,1
KS18,KSH,68560,1,56,1
KS18,KSH,68560,1,57,1
KS18,KSH,68560,1,57,1
KS18,KSH,68560,1,58,1
KS18,KSH,68560,1,58,1
KS18,KSH,68560,1,58,1
KS18,KSH,68560,1,58,1
KS18,KSH,68560,1,59,1
KS18,KSH,68560,1,60,1
KS18,KSH,68560,1,60,1
KS18,KSH,68560,1,60,1
KS18,KSH,68560,1,61,1
KS18,KSH,68560,1,62,1
KS18,KSH,68560,1,62,1
KS18,KSH,68560,1,62,1
KS18,KSH,68560,1,63,1
KS18,KSH,68560,1,63,2.2
KS18,KSH,68560,1,63,1
KS18,KSH,68560,1,64,1
KS18,KSH,68560,1,64,1
KS18,KSH,68560,1,64,1
KS18,KSH,68560,1,64,1
KS18,KSH,68560,1,65,1
